left_id,right_id,true_delta_pp,quadratic-polynomial,piecewise-additive-interaction-grids
test-0012,test-0113,-3.7660224340693107,-3.454532636557992,-4.035337236117955
test-0012,test-0117,2.8524310082428013,2.673977288262166,2.773528395805992
test-0012,test-0123,-2.071642745344873,-2.885641509374035,-2.4662776007368974
test-0012,test-0125,-9.263084646467057,-8.937879152867009,-9.614799360459353
test-0012,test-0126,-1.6347056818348853,-2.350522405017742,-2.5419804541977955
test-0012,test-0131,0.2856718012882177,-0.15520788065342728,0.07750148155707424
test-0012,test-0134,5.511546545729288,5.378483146794958,5.481965801546847
test-0012,test-0135,-7.498306195993379,-7.930888996754895,-7.604616546756662
test-0012,test-0138,-1.398725513485114,-2.2425967969698477,-2.209580141416396
test-0012,test-0145,-10.120211699272637,-10.208910593802534,-10.40608812812842
test-0012,test-0149,3.0476056167281067,2.410870419937303,2.114238463193085
test-0013,test-0019,-7.3213209450478125,-5.795199259935982,-6.2031734978936885
test-0013,test-0026,3.582460230371244,5.03589610012916,4.179247249396548
test-0013,test-0031,-6.248196975778306,-4.713717728467127,-5.686251873213755
test-0013,test-0047,-3.4856240457130663,-1.3454675564267355,-3.155234524056568
test-0013,test-0054,-0.7062812659919091,1.3318205124398024,0.4156765056459541
test-0013,test-0063,-9.76794031616619,-8.799203287455533,-9.273713421072449
test-0013,test-0065,-0.33410574448460184,0.48772665198236953,0.7354673089495746
test-0013,test-0075,-4.715611342247199,-3.7070177211740476,-3.9572850158946653
test-0013,test-0076,-3.7235269069411174,-2.8197608366085816,-2.5792361274922486
test-0013,test-0078,10.798081346757412,11.092328058640648,10.369989879193353
test-0013,test-0084,-1.416863768949966,0.07209426989424521,-0.2150554037922779
test-0013,test-0094,1.2137777538042862,1.2236698872343492,0.807431373847826
test-0013,test-0101,10.155180723074386,10.571047325058675,9.559383793958412
test-0013,test-0108,-7.972629190830488,-6.380639980432469,-7.517805205693925
test-0013,test-0110,-5.057358966444493,-4.427107800736603,-4.98565419422047
test-0013,test-0115,-3.848521120837156,-3.0505108349809107,-3.5770842253740582
test-0013,test-0116,0.6277197250470322,0.5941674083346643,-0.06085629349539775
test-0013,test-0121,-2.402357069160677,-1.2726204414345488,-1.9787187439954699
test-0013,test-0122,-6.7150894339052565,-6.3220083531222455,-6.852336854675844
test-0013,test-0129,0.8302813867701743,1.7409362425898296,1.2109744987024207
test-0013,test-0135,2.067545880448228,2.6436516771976293,2.587539041735871
test-0013,test-0140,2.0556007105987035,1.6094571479436899,2.0810109837601787
test-0013,test-0142,-1.9619256047913516,-2.0662800395275394,-1.335924016915428
test-0013,test-0143,5.000528462859247,5.833027813568307,5.41631542162876
test-0013,test-0145,-0.8254980114525289,0.10398932168460887,-0.5229635016485151
test-0013,test-0155,-2.446148113303361,0.04355927510406259,-1.5254879948420543
test-0014,test-0017,5.951377087209455,5.1184138611132575,6.153203105521497
test-0014,test-0034,-7.957308084915221,-9.198010598466864,-7.863207279930067
test-0014,test-0041,2.0232601099575787,2.509724922048134,2.6508693099364535
test-0014,test-0042,7.480668149385607,5.840983133450943,7.718415272179264
test-0014,test-0043,-9.082176789293708,-9.6776562328504,-9.427458517367864
test-0014,test-0047,-8.102146052501054,-7.7617485920199805,-7.791289210377912
test-0014,test-0053,2.558531071312994,0.6694458225657093,1.6544477742007013
test-0014,test-0073,-4.344392450070629,-3.9627829100369167,-4.253170081955025
test-0014,test-0094,-3.627528297968735,-5.35970238531776,-4.018320047408241
test-0014,test-0098,-2.7490909053065242,-3.300461845125973,-2.4642603796932243
test-0014,test-0101,4.886185188039868,3.379741497896205,4.314667756160484
test-0014,test-0104,-13.662309086795826,-14.187423295754058,-13.565262165185507
test-0014,test-0106,8.050014841301568,6.072347505361128,8.249636801553466
